Product,Description,Quantity,Price(Taka/BDT),Price(USD),Sale price(As of when writing this)(Taka/BDT),Link,Shipping Fee(Taka),Extra Notes
Rspberry pi pico,The microcontroller,1,1119,9.06,959,【Clearance Markdowns】 Raspberry Pi Pico Board RP2040 TYPE-C / MICRO Dual-Core 264KB ARM Low- Microcomputers High-Performance Cortex-M0+ Processor | Daraz.com.bd,Free(as of writing this),
Mx Cherry linear switches,Switches for the Keyboard,91,3736,30.25,1532,20-100pc Mechanical Keyboard Switches Blue Red Brown Switch Customizable Hot-Swappable 3 Pins Cross Stem for Mechanical Keyboard | Daraz.com.bd,170,Due to me needing 91 switches I had to buy the 100 set of switches.
Keycaps set,Base keycap set,1,2366,19.16,968,104pcs ABS Universal Mechanical Keyboard Keycaps Ergonomic Blank Keycaps For Cherry MX Keyboard Replacement OEM Backlit Key Cap | Daraz.com.bd,170,This was the only good looking keycap set I could find.
1N4148 Diodes,The diodes for the keyboard matrix.,91,892,7.22,379,100/350pcs Fast Switching Schottky Diode Assorted Kit 1N4001 1N4004 1N4007 1N5408 UF4007 FR207 1N5817 1N5819 1N5822 1N4148 RL207 | Daraz.com.bd,170,"Due to me only finding a pack of 100 that was the most reliable, I had to buy 100."
Stabilizers,stabilizers for keys bigger than 1u.,1 set,979,7.93,839,【Premium Quality】 2X Mechanical Keyboard Steel Plate Balance Shaft Keyboard Accessories Transparent Plate Mounted Stabilizer Wire BRYT | Daraz.com.bd,170,This was the only option for stabilizers.
Dual-axis XY Joystick Module,Joystick for the keyboard,1,678,5.49,281,For Arduino Dual-axis XY Joystick Module Higher Quality PS2 Joystick Control Lever Sensor KY-023 | Daraz.com.bd,170,
3d Printed Case,The case for the keyboard,1,3161=(284+1012+1014+851),25.59,3161,3D Printing Service in Bangladesh — Instant Price Quote | RoboticsBD,99,"Even though the case is 1 pcs, but it has been divided into 4 parts so it can printed."
M3 screws ,Screws for the case,4,45,0.36,45,M3 x 6 8 10 20 25 40mm Flat head Phillips Drive machine Replacement Screw | Daraz.com.bd,170,Due to me only finding a pack of 10 I had to buy 10.
Heatset Insert,Heatset inserts for case.,4,924,7.48,416,30/50/100pcs M3 Brass Knurled Heat Set Inserts Threaded Heat Resistant Embedment Nuts for 3D Printing Plastic Injection | Daraz.com.bd,170,"Due to me only finding this in sets of 30. So, I had to buy 30. The other sets were of 100 or 50 pcs. "
1u wide clear keycaps,1u wide Keys for keys larger than 1u.,14,1384,11.21,551,https://www.daraz.com.bd/products/1020pcs-blank-keycaps-abs-frosted-transparent-translucent-1u-r4-keycap-for-mx-switches-mechanical-keyboard-i1572536652-s12630796097.html?,170,Due to me only finding this in sets of 10 so I had to buy 20. 
PCB,The PCB for the keyboard,1,3729.78,30.2,20.20(USD)(This is with coupons)(or 2494.75 Taka/BDT),,42.04(USD) or 5192.05 Taka/BDT,There isn't a link for this one since due to there not being a specific optio for it.
TOTAL:,,,19013.78 Taka/BDT,153.95 USD,11625.75 taka/BDT or 94.13 USD,,6651.05 Taka/BDT or 53.85 USD,
